epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,113.44,0.36216,0.33029,0.8334,0.98796,1,0.995,0.96401,0.31694,0.1745,0.7326,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,116.802,0.35045,0.33501,0.80372,0.98735,1,0.995,0.97065,0.30034,0.17987,0.73024,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,120.33,0.37067,0.32842,0.80872,0.98735,1,0.995,0.97065,0.30034,0.17987,0.73024,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,124.133,0.31339,0.28878,0.80928,0.98564,1,0.995,0.96272,0.3102,0.17421,0.73165,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,127.532,0.36415,0.31435,0.84334,0.98564,1,0.995,0.96272,0.3102,0.17421,0.73165,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,131.935,0.35428,0.3561,0.80765,0.98925,1,0.995,0.96277,0.31025,0.18455,0.73438,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,135.293,0.359,0.3271,0.79946,0.98278,1,0.995,0.95098,0.31909,0.18179,0.73966,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,138.524,0.34729,0.27846,0.80202,0.98278,1,0.995,0.95098,0.31909,0.18179,0.73966,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,141.861,0.35198,0.30837,0.81113,0.98884,1,0.995,0.97077,0.3067,0.17652,0.73512,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,145.541,0.3385,0.28943,0.80915,0.9909,1,0.995,0.96439,0.32459,0.16535,0.73902,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,149.145,0.32481,0.26922,0.7972,0.9909,1,0.995,0.96439,0.32459,0.16535,0.73902,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,152.529,0.338,0.26329,0.82102,0.98966,1,0.995,0.95593,0.32908,0.18602,0.73737,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,155.833,0.32148,0.27214,0.78562,0.98966,1,0.995,0.95593,0.32908,0.18602,0.73737,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,159.15,0.34591,0.28352,0.80862,0.99032,1,0.995,0.97248,0.31246,0.17241,0.73372,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
